CD4T Cells,CD8T Cells,NK Cells,BCells,Plasma Cells,Mast Cells,Monocytes,Macrophages,Neutrophils,DC,Fibroblasts,EndothelialCells,EpithelialCells
CD3D,CD3D,NKG7,CD79A,JCHAIN,TPSB2,S100A8,CD68,FCGR3B,CLEC10A,COL1A2,PLVAP,EPCAM
CD3E,CD3E,KLRF1,MS4A1,IGHA1,CPA3,S100A9,C1QB,CSF3R,FCER1A,COL1A1,VWF,MUC2
CD4,CD8A,FGFBP2,BANK1,IGHA2,CTSG,S100A12,APOC1,CXCR2,CD1E,COL3A1,ACKR1,LGR5
CD40LG,CD8B,TYROBP,FCER2,MZB1,,CD14,C1QA,,CLEC9A,DCN,CLDN5,OLFM4
ICOS,GZMK,SH2D1B,IGHD,DERL3,,FCGR3A,C1QC,,CD1C,LUM,LYVE1,ASCL2
CD28,GZMH,TRDC,TCL1A,XBP1,,VCAN,APOE,,XCR1,TAGLN,KDR,GUCA2A
FOXP3,GZMB,PRF1,BCL6,IGHG1,,,,,LAMP3,FBLN1,GJA4,GUCA2B
GPR183,ZNF683,,TXNIP,IGHG2,,,,,CCL22,,GJA5,ADH1C
,,,LMO2,IGHG3,,,,,LILRA4,,,
,,,,IGHG4,,,,,FSCN1,,,
